Voter_ID,Name,Age,DOB,Gender,City,State,Address,Aadhar
2260,Kiran Kulkarnee,22,2004-03-14,Female,Pune,Maharashtra,"House 52, MG Road, Nashik, Maharashtra - 400001",3154-8723-5848
3142,SNEHA JOSHI,75,1951-10-10,Female,Pune,Maharashtra,"House 248, Tilak Nagar, Nashik, Maharashtra - 440001",2933-4759-6954
2713,Anjali Josi,80,1946-08-12,Female,Nagpur,Maharashtra,"House 382, Tilak Nagar, Mumbai, Maharashtra - 411001",2562-8955-7691
1009,Pooja Yadav,22,2004-11-28,Female,Ratnagiri,Maharashtra,"House 216, Station Road, Nagpur, Maharashtra - 422001",7156-1937-7596
2904,Anjli Yadab,57,1969-03-11,Male,Mumbai,Maharashtra,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",6826-7750-7289
1411,Anjaly Josi,34,1992-12-17,Female,Mumbai,Maharashtra,"House 132, Tilak Nagar, Mumbai, Maharashtra - 440001",7136-4401-2712
1998,Sneha Sarma,73,1953-08-13,Female,Pune,Maharashtra,"House 416, Tilak Nagar, Nagpur, Maharashtra - 411001",5741-1535-9515
1950,Puja Sharma,51,1975-07-05,Female,Nagpur,Maharashtra,"House 170, Tilak Nagar, Mumbai, Maharashtra - 400001",7302-4188-3105
1464,Snehaa Patill,37,1989-11-13,Male,Ratnagiri,Maharashtra,"House 21, Gandhi Chowk, Mumbai, Maharashtra - 400001",9133-8200-6743
1869,Anjali Yadav,71,1955-02-09,Female,Nagpur,Maharashtra,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",7522-1934-6956
1261,Anjali Patill,30,1996-12-11,Male,Ratnagiri,Maharashtra,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",4238-3628-8755
1756,Anjali Kulkarnee,22,2004-11-07,Female,Pune,Maharashtra,"House 19, Gandhi Chowk, Nashik, Maharashtra - 411001",6151-7191-6784
1578,Ameet More,65,1961-10-28,Male,Mumbai,Maharashtra,"House 52, MG Road, Nashik, Maharashtra - 400001",2656-3002-9031
1636,Anjali Sharma,67,1959-12-28,Female,Pune,Maharashtra,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",4256-2540-8437
1443,Pooja Kulkarnee,53,1973-05-09,Male,Ratnagiri,Maharashtra,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",1559-6711-8521
2297,Karan Sarma,67,1959-10-17,Male,Pune,Maharashtra,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",1584-8054-8978
2651,Anjli Sarma,49,1977-04-04,Male,Mumbai,Maharashtra,"House 206, Station Road, Pune, Maharashtra - 440001",6634-1289-3850
2952,Sneha More,74,1952-05-13,Male,Mumbai,Maharashtra,"House 265, Gandhi Chowk, Nashik, Maharashtra - 422001",2075-6521-6077
2111,Ameet Sarma,21,2005-11-17,Female,Mumbai,Maharashtra,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",1799-3091-5032
1663,Pooja More,20,2006-06-25,Male,Pune,Maharashtra,"House 175, MG Road, Nagpur, Maharashtra - 440001",4149-7633-7663
1746,Snehaa Patil,24,2002-12-19,Male,Ratnagiri,Maharashtra,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",8070-6261-7701
2397,Amit Sarma,41,1985-10-24,Female,Mumbai,Maharashtra,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",6607-8680-7821
2856,Kiran Sharma,78,1948-09-14,Male,Pune,Maharashtra,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",6981-7254-7791
2597,Anjali Josi,43,1983-03-27,Male,Nagpur,Maharashtra,"House 126, Gandhi Chowk, Nagpur, Maharashtra - 400001",9957-3635-7054
2891,Pooja Josi,61,1965-10-18,Female,Mumbai,Maharashtra,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",6897-2769-2845
1352,Anjaly Sarma,63,1963-11-04,Male,Mumbai,Maharashtra,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",3682-9326-4790
1163,Anjali Josi,51,1975-12-06,Male,Ratnagiri,Maharashtra,"House 283, Shivaji Nagar, Pune, Maharashtra - 440001",5352-6559-3128
2179,Anjli Patil,66,1960-11-07,Female,Ratnagiri,Maharashtra,"House 99, Laxmi Colony, Mumbai, Maharashtra - 422001",6476-1652-6248
1054,Raahul Moore,59,1967-12-03,Female,Ratnagiri,Maharashtra,"House 113, Tilak Nagar, Nagpur, Maharashtra - 440001",7391-5875-3636
2162,Poojaa Yadab,26,2000-10-26,Female,Nagpur,Maharashtra,"House 11, Gandhi Chowk, Mumbai, Maharashtra - 411001",3985-9636-2765
1796,Ameet Kulkarni,37,1989-06-21,Male,Pune,Maharashtra,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",1849-4181-4649
1811,Sneha Moray,51,1992-10-05,Female,Pune,Maharashtra,"House 48, Gandhi Chowk, Mumbai, Maharashtra - 440001",2946-1488-9060
1703,Poojaa Yadab,33,1993-11-16,Female,Mumbai,Maharashtra,"House 336, Tilak Nagar, Mumbai, Maharashtra - 422001",7223-8801-8962
2758,Puja Moore,77,1984-03-01,Male,Mumbai,Maharashtra,"House 34, Gandhi Chowk, Nashik, Maharashtra - 422001",1565-2028-1258
