Voter_ID,Name,Age,Gender,State,City,Address,Aadhar,DOB,status
2260,Kiran Kulkarnee,22,Female,Maharashtra,Pune,"House 52, MG Road, Nashik, Maharashtra - 400001",3154-8723-5848,2004-03-14,Registered
3142,SNEHA JOSHI,75,Female,Maharashtra,Pune,"House 248, Tilak Nagar, Nashik, Maharashtra - 440001",2933-4759-6954,1951-10-10,Pending
2713,Anjali Josi,80,Female,Maharashtra,Nagpur,"House 382, Tilak Nagar, Mumbai, Maharashtra - 411001",2562-8955-7691,1946-08-12,Pending
1009,Pooja Yadav,22,Female,Maharashtra,Ratnagiri,"House 216, Station Road, Nagpur, Maharashtra - 422001",7156-1937-7596,2004-11-28,Pending
2904,Anjli Yadab,57,Male,Maharashtra,Mumbai,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",6826-7750-7289,1969-03-11,Pending
1411,Anjaly Josi,34,Female,Maharashtra,Mumbai,"House 132, Tilak Nagar, Mumbai, Maharashtra - 440001",7136-4401-2712,1992-12-17,Pending
1998,Sneha Sarma,73,Female,Maharashtra,Pune,"House 416, Tilak Nagar, Nagpur, Maharashtra - 411001",5741-1535-9515,1953-08-13,Pending
1950,Puja Sharma,51,Female,Maharashtra,Nagpur,"House 170, Tilak Nagar, Mumbai, Maharashtra - 400001",7302-4188-3105,1975-07-05,Pending
1464,Snehaa Patill,37,Male,Maharashtra,Ratnagiri,"House 21, Gandhi Chowk, Mumbai, Maharashtra - 400001",9133-8200-6743,1989-11-13,Pending
1869,Anjali Yadav,71,Female,Maharashtra,Nagpur,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",7522-1934-6956,1955-02-09,Pending
1261,Anjali Patill,30,Male,Maharashtra,Ratnagiri,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",4238-3628-8755,1996-12-11,Pending
1756,Anjali Kulkarnee,22,Female,Maharashtra,Pune,"House 19, Gandhi Chowk, Nashik, Maharashtra - 411001",6151-7191-6784,2004-11-07,Pending
1578,Ameet More,65,Male,Maharashtra,Mumbai,"House 52, MG Road, Nashik, Maharashtra - 400001",2656-3002-9031,1961-10-28,Pending
1636,Anjali Sharma,67,Female,Maharashtra,Pune,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",4256-2540-8437,1959-12-28,Pending
1443,Pooja Kulkarnee,53,Male,Maharashtra,Ratnagiri,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",1559-6711-8521,1973-05-09,Pending
2297,Karan Sarma,67,Male,Maharashtra,Pune,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",1584-8054-8978,1959-10-17,Pending
2651,Anjli Sarma,49,Male,Maharashtra,Mumbai,"House 206, Station Road, Pune, Maharashtra - 440001",6634-1289-3850,1977-04-04,Pending
2952,Sneha More,74,Male,Maharashtra,Mumbai,"House 265, Gandhi Chowk, Nashik, Maharashtra - 422001",2075-6521-6077,1952-05-13,Pending
2111,Ameet Sarma,21,Female,Maharashtra,Mumbai,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",1799-3091-5032,2005-11-17,Pending
1663,Pooja More,20,Male,Maharashtra,Pune,"House 175, MG Road, Nagpur, Maharashtra - 440001",4149-7633-7663,2006-06-25,Pending
1746,Snehaa Patil,24,Male,Maharashtra,Ratnagiri,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",8070-6261-7701,2002-12-19,Pending
2397,Amit Sarma,41,Female,Maharashtra,Mumbai,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",6607-8680-7821,1985-10-24,Pending
2856,Kiran Sharma,78,Male,Maharashtra,Pune,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",6981-7254-7791,1948-09-14,Pending
2597,Anjali Josi,43,Male,Maharashtra,Nagpur,"House 126, Gandhi Chowk, Nagpur, Maharashtra - 400001",9957-3635-7054,1983-03-27,Pending
2891,Pooja Josi,61,Female,Maharashtra,Mumbai,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",6897-2769-2845,1965-10-18,Pending
1352,Anjaly Sarma,63,Male,Maharashtra,Mumbai,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",3682-9326-4790,1963-11-04,Pending
1163,Anjali Josi,51,Male,Maharashtra,Ratnagiri,"House 283, Shivaji Nagar, Pune, Maharashtra - 440001",5352-6559-3128,1975-12-06,Pending
2179,Anjli Patil,66,Female,Maharashtra,Ratnagiri,"House 99, Laxmi Colony, Mumbai, Maharashtra - 422001",6476-1652-6248,1960-11-07,Pending
1054,Raahul Moore,59,Female,Maharashtra,Ratnagiri,"House 113, Tilak Nagar, Nagpur, Maharashtra - 440001",7391-5875-3636,1967-12-03,Pending
2162,Poojaa Yadab,26,Female,Maharashtra,Nagpur,"House 11, Gandhi Chowk, Mumbai, Maharashtra - 411001",3985-9636-2765,2000-10-26,Pending
1796,Ameet Kulkarni,37,Male,Maharashtra,Pune,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",1849-4181-4649,1989-06-21,Pending
1811,Sneha Moray,51,Female,Maharashtra,Pune,"House 48, Gandhi Chowk, Mumbai, Maharashtra - 440001",2946-1488-9060,1992-10-05,Pending
1703,Poojaa Yadab,33,Female,Maharashtra,Mumbai,"House 336, Tilak Nagar, Mumbai, Maharashtra - 422001",7223-8801-8962,1993-11-16,Pending
2758,Puja Moore,77,Male,Maharashtra,Mumbai,"House 34, Gandhi Chowk, Nashik, Maharashtra - 422001",1565-2028-1258,1984-03-01,Pending
2215,Karan Moray,20,Male,Maharashtra,Pune,"House 206, Shivaji Nagar, Nagpur, Maharashtra - 400001",5167-2444-8663,2006-07-14,Pending
1983,Anjali Yadav,67,Male,Maharashtra,Nagpur,"House 30, MG Road, Pune, Maharashtra - 440001",2430-2220-1244,1959-06-24,Pending
2648,Amith Moore,39,Female,Maharashtra,Pune,"House 366, MG Road, Nagpur, Maharashtra - 422001",5228-4307-7497,1987-01-27,Pending
1434,Karan Kulkarnee,66,Male,Maharashtra,Ratnagiri,"House 51, Station Road, Pune, Maharashtra - 400001",9812-4480-5537,1960-01-10,Pending
2544,Anjali Yadava,52,Male,Maharashtra,Ratnagiri,"House 11, Tilak Nagar, Nagpur, Maharashtra - 440001",7253-2662-4843,1974-11-05,Pending
2180,Kiran Pateel,25,Male,Maharashtra,Ratnagiri,"House 21, Gandhi Chowk, Mumbai, Maharashtra - 400001",1942-5237-8519,2001-06-06,Pending
2327,Pooja Josi,49,Male,Maharashtra,Pune,"House 218, Tilak Nagar, Nagpur, Maharashtra - 440001",7472-5282-6269,1977-11-25,Pending
2404,Anjali More,47,Male,Maharashtra,Pune,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",3033-4851-1248,1979-04-18,Pending
