Voter_ID,Name,Age,Gender,State,City,Address,Aadhar,DOB,status
2260,Kiran Kulkarnee,22,Female,Maharashtra,Pune,"House 52, MG Road, Nashik, Maharashtra - 400001",1.45479E+11,3/14/2004,Registered
3142,SNEHA JOSHI,75,Female,Maharashtra,Pune,"House 248, Tilak Nagar, Nashik, Maharashtra - 440001",1.66658E+11,10/10/1951,Pending
2713,Anjali Josi,80,Female,Maharashtra,Nagpur,"House 382, Tilak Nagar, Mumbai, Maharashtra - 411001",5.31181E+11,8/12/1946,Pending
1009,Pooja Yadav,22,Female,Maharashtra,Ratnagiri,"House 216, Station Road, Nagpur, Maharashtra - 422001",3.01107E+11,11/28/2004,Pending
2904,Anjli Yadab,57,Male,Maharashtra,Mumbai,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",6.53647E+11,3/11/1969,Pending
1411,Anjaly Josi,34,Female,Maharashtra,Mumbai,"House 132, Tilak Nagar, Mumbai, Maharashtra - 440001",2.79104E+11,12/17/1992,Pending
1998,Sneha Sarma,73,Female,Maharashtra,Pune,"House 416, Tilak Nagar, Nagpur, Maharashtra - 411001",9.42645E+11,8/13/1953,Pending
1950,Puja Sharma,51,Female,Maharashtra,Nagpur,"House 170, Tilak Nagar, Mumbai, Maharashtra - 400001",5.04169E+11,7/5/1975,Pending
1464,Snehaa Patill,37,Male,Maharashtra,Ratnagiri,"House 21, Gandhi Chowk, Mumbai, Maharashtra - 400001",3.35933E+11,11/13/1989,Pending
1869,Anjali Yadav,71,Female,Maharashtra,Nagpur,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",3.34654E+11,2/9/1955,Pending
1261,Anjali Patill,30,Male,Maharashtra,Ratnagiri,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",6.71005E+11,12/11/1996,Pending
1756,Anjali Kulkarnee,22,Female,Maharashtra,Pune,"House 19, Gandhi Chowk, Nashik, Maharashtra - 411001",6.09621E+11,11/7/2004,Pending
1578,Ameet More,65,Male,Maharashtra,Mumbai,"House 52, MG Road, Nashik, Maharashtra - 400001",3.21924E+11,10/28/1961,Pending
1636,Anjali Sharma,67,Female,Maharashtra,Pune,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",4.22436E+11,12/28/1959,Pending
1443,Pooja Kulkarnee,53,Male,Maharashtra,Ratnagiri,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",3.68178E+11,5/9/1973,Pending
2297,Karan Sarma,67,Male,Maharashtra,Pune,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",6.88899E+11,10/17/1959,Pending
2651,Anjli Sarma,49,Male,Maharashtra,Mumbai,"House 206, Station Road, Pune, Maharashtra - 440001",8.84993E+11,4/4/1977,Pending
2952,Sneha More,74,Male,Maharashtra,Mumbai,"House 265, Gandhi Chowk, Nashik, Maharashtra - 422001",5.76057E+11,5/13/1952,Pending
2111,Ameet Sarma,21,Female,Maharashtra,Mumbai,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",6.49528E+11,11/17/2005,Pending
1663,Pooja More,20,Male,Maharashtra,Pune,"House 175, MG Road, Nagpur, Maharashtra - 440001",9.49275E+11,6/25/2006,Pending
1746,Snehaa Patil,24,Male,Maharashtra,Ratnagiri,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",31491927619,12/19/2002,Pending
2397,Amit Sarma,41,Female,Maharashtra,Mumbai,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",9.04736E+11,10/24/1985,Pending
2856,Kiran Sharma,78,Male,Maharashtra,Pune,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",4.91964E+11,9/14/1948,Pending
2597,Anjali Josi,43,Male,Maharashtra,Nagpur,"House 126, Gandhi Chowk, Nagpur, Maharashtra - 400001",68572508570,3/27/1983,Pending
2891,Pooja Josi,61,Female,Maharashtra,Mumbai,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",3.22268E+11,10/18/1965,Pending
1352,Anjaly Sarma,63,Male,Maharashtra,Mumbai,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",7.45259E+11,11/4/1963,Pending
1163,Anjali Josi,51,Male,Maharashtra,Ratnagiri,"House 283, Shivaji Nagar, Pune, Maharashtra - 440001",1.59049E+11,12/6/1975,Pending
2179,Anjli Patil,66,Female,Maharashtra,Ratnagiri,"House 99, Laxmi Colony, Mumbai, Maharashtra - 422001",2.26607E+11,11/7/1960,Pending
1054,Raahul Moore,59,Female,Maharashtra,Ratnagiri,"House 113, Tilak Nagar, Nagpur, Maharashtra - 440001",4.06462E+11,12/3/1967,Pending
2162,Poojaa Yadab,26,Female,Maharashtra,Nagpur,"House 11, Gandhi Chowk, Mumbai, Maharashtra - 411001",41250157675,10/26/2000,Pending
1796,Ameet Kulkarni,37,Male,Maharashtra,Pune,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",4.25404E+11,6/21/1989,Pending
1811,Sneha Moray,51,Female,Maharashtra,Pune,"House 48, Gandhi Chowk, Mumbai, Maharashtra - 440001",3.54684E+11,10/5/1992,Pending
1703,Poojaa Yadab,33,Female,Maharashtra,Mumbai,"House 336, Tilak Nagar, Mumbai, Maharashtra - 422001",5.68096E+11,11/16/1993,Pending
