S,Name,Age,Gender,State,City,Address,Aadhar,DOB,status
1100,Kiran Kulkarnee,22,Female,Maharashtra,Pune,"House 52, MG Road, Nashik, Maharashtra - 400001",3154-8723-5848,3/14/2004,Registered
1101,SNEHA JOSHI,75,Female,Maharashtra,Pune,"House 248, Tilak Nagar, Nashik, Maharashtra - 440001",2933-4759-6954,10/10/1951,Registered
1102,Anjali Josi,80,Female,Maharashtra,Nagpur,"House 382, Tilak Nagar, Mumbai, Maharashtra - 411001",2562-8955-7691,8/12/1946,69569820159
1103,Pooja Yadav,22,Female,Maharashtra,Ratnagiri,"House 216, Station Road, Nagpur, Maharashtra - 422001",7156-1937-7596,11/28/2004,6.03157E+11
1104,Anjli Yadab,57,Male,Maharashtra,Mumbai,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",6826-7750-7289,3/11/1969,20881284320
1105,Anjaly Josi,34,Female,Maharashtra,Mumbai,"House 132, Tilak Nagar, Mumbai, Maharashtra - 440001",7136-4401-2712,12/17/1992,8.37745E+11
1106,Sneha Sarma,73,Female,Maharashtra,Pune,"House 416, Tilak Nagar, Nagpur, Maharashtra - 411001",5741-1535-9515,8/13/1953,4.19088E+11
1107,Puja Sharma,51,Female,Maharashtra,Nagpur,"House 170, Tilak Nagar, Mumbai, Maharashtra - 400001",7302-4188-3105,7/5/1975,6.58771E+11
1108,Snehaa Patill,37,Male,Maharashtra,Ratnagiri,"House 21, Gandhi Chowk, Mumbai, Maharashtra - 400001",9133-8200-6743,11/13/1989,9.6202E+11
1109,Anjali Yadav,71,Female,Maharashtra,Nagpur,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",7522-1934-6956,2/9/1955,2.96383E+11
1110,Anjali Patill,30,Male,Maharashtra,Ratnagiri,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",4238-3628-8755,12/11/1996,1.45148E+11
1111,Anjali Kulkarnee,22,Female,Maharashtra,Pune,"House 19, Gandhi Chowk, Nashik, Maharashtra - 411001",6151-7191-6784,11/7/2004,2.10061E+11
